Sheet1$.F1,编号,企业名称,企业地址,企业类别,location,coordinates,X,Y
,422,德清县夏越机械厂,德清县新市镇加元村韶村加油站东侧,C,,,,
,431,德清中润五金制品有限公司,浙江省湖州市德清县新安镇勾里村,C,,,,
,443,德清广艺装饰工程有限公司,浙江省德清县雷甸镇和平村,C,,,,
,445,德清全艺五金有限公司,德清县雷甸镇和平村,C,,,,
,446,德清县东帆包装有限公司,新市镇环城西路245号,C,,,,
,447,湖州同旺纺织烫金有限公司,浙江省湖州市德清县新市镇白彪村寺前路28号,C,,,,
,449,浙江杭东车业有限公司（曾用名：德清县港德制衣有限公司）,浙江省湖州市德清县新安镇华姿街南侧,C,,,,
,451,德清县莫干山蛇类实业有限公司,浙江省德清县新市镇子思桥,C,,,,
,458,德清县隆建植绒有限公司,浙江省湖州市德清县新市镇蔡界村二龙桥西堍,C,,,,
,463,浙江九和家具有限公司,德清县雷甸镇和平村,C,,,,
,464,德清康博塑料制品厂,德清县新市镇梅林村,C,,,,
,469,德清县新市华荣橡塑彩印厂（普通合伙）,德清县新市镇梅林村,C,,,,
,471,德清县金博包装有限公司,德清县新安镇勾里村,C,,,,
,473,浙江利富豪智能家居有限公司,浙江省湖州市德清县雷甸镇运河路118号,C,,,,
,474,南源智慧水务有限公司（曾用名：浙江南源智慧水务有限公司）,浙江省湖州市德清县雷甸镇通用航空产业园启航路18号（莫干山国家高新区）,C,,,,
,476,浙江新俊环境科技有限公司,浙江省湖州市德清县雷甸镇通用航空产业园兴业路35号（莫干山国家高新区）,C,,,,
,480,德清县建龙化纤有限公司,浙江省湖州市德清县新市镇梅林村,C,,,,
,484,浙江鸿章铸造材料有限公司,浙江省湖州市德清县钟管镇龙山路150号,C,,,,
,487,德清县东旺木业有限公司,浙江省湖州市德清县新市镇东安村,C,,,,
,489,浙江天元门业有限公司,德清县雷甸镇庆云路68、78、88、98号,C,,,,
,492,德清祥润纺织科技有限公司,浙江省湖州市德清县新安镇舍南村中埭郎,C,,,,
,493,浙江天盟环保设备有限公司,浙江省湖州市德清县新市镇城东路61号一楼,C,,,,
,494,浙江泽丰机械有限责任公司（曾用名：德清泽丰机械有限公司）,浙江省湖州市德清县新市镇宋市工业园8号4号厂房一楼,C,,,,
,495,浙江博阳新能源有限公司,浙江省湖州市德清县禹越镇星河路9号,C,,,,
,496,浙江敏锐机械科技有限公司,浙江省湖州市德清县雷甸镇临杭工业区兴业路289号东面厂房D、E车间（莫干山国家高新区）,C,,,,
,498,湖州峰润皮革有限公司,浙江省德清工业园区,C,,,,
,500,湖州东颖木业有限公司,浙江省湖州市德清县钟管镇横溪郎,C,,,,
,501,德清隆兴钢结构有限公司,德清县雷甸镇双溪村冯春圩,C,,,,
,505,德清东清木业有限公司,浙江省湖州市德清县新市镇谷门村东安片,C,,,,
,507,德清峰荣庭建材有限公司,浙江省德清县雷甸镇塘北村,C,,,,
,508,浙江钜桥实业有限公司,浙江省湖州市德清县钟管镇横塘桥路118号,C,,,,
,512,浙江山河家具有限公司,浙江省德清县雷甸镇永和西路38号,C,,,,
,516,浙江恩太宠物科技有限公司,浙江省湖州市德清县钟管镇横塘桥路81号,C,,,,
,519,浙江希缘金属包装有限公司,德清县雷甸镇庆云路68、78、88、98号,C,,,,
,520,浙江海纳木业有限公司,浙江省德清县钟管镇下塘村,C,,,,
,523,浙江淼盛汽车有限公司,浙江省湖州市德清县雷甸镇永和路9号,C,,,,
,524,湖州市志方丝绸股份有限公司,德清县新市镇士林集镇,C,,,,
,527,德清利雅特纺织整理有限公司,浙江省德清县新市镇徐家北路188号,C,,,,
,530,湖州奋强金属制品科技有限公司,浙江省湖州市德清县钟管镇钟新湖中路2958号,C,,,,
,537,浙江德清得而森五金制造有限责任公司,浙江省湖州市德清县钟管镇干山工业区69号3号厂房,C,,,,
,538,德清雅贤节能门窗有限公司,浙江省湖州市德清县禹越镇杨家坝村七家湾88号,C,,,,
,539,浙江珑钢科技有限公司,浙江省湖州市德清县雷甸镇临杭工业区兴业路289号西面厂房A、B、C车间（莫干山国家高新区）,C,,,,
,540,浙江华顺玻璃有限公司,浙江省湖州市德清县雷甸镇兴业路9号南首第一层厂房（自主申报）,C,,,,
,544,浙江融兴电动科技有限公司,浙江省湖州市德清县雷甸镇启航路158号,C,,,,
,551,浙江欧雅特纺织科技有限公司（曾用名：浙江欧雅特饰品有限公司）,浙江省德清县新市镇徐家北路188号,C,,,,
,552,德清县新市氟塑料有限公司,德清县新市镇急水桥堍,C,,,,
